,GOOG
2020-09-28,39.671287259304464
2020-09-29,35.81075738947901
2020-09-30,39.01523675209222
2020-10-01,44.778562915433504
2020-10-02,40.59468371790748
2020-10-05,41.577017874718344
2020-10-06,40.109096018098256
2020-10-07,44.536464888291675
2020-10-08,54.14907995913424
2020-10-09,63.42552471786453
2020-10-12,65.58353819622808
2020-10-13,77.45373429386233
2020-10-14,75.371125489766
2020-10-15,71.31862370787412
2020-10-16,70.69705106320546
2020-10-19,61.03894629447959
2020-10-20,63.62830511185495
2020-10-21,65.46966859890213
2020-10-22,74.2167379750675
2020-10-23,74.06221112018206
2020-10-26,70.14792951189948
2020-10-27,70.74672930199749
2020-10-28,53.75210896394559
2020-10-29,56.044615381342076
2020-10-30,56.0282741969928
2020-11-02,56.281346066214184
2020-11-03,59.06091832855974
2020-11-04,67.48960049261416
2020-11-05,67.5111393587682
2020-11-06,72.41100321188472
2020-11-09,71.27329309386965
2020-11-10,65.58315248178336
2020-11-11,64.86087933962872
2020-11-12,62.38449216486104
2020-11-13,72.42158345940494
2020-11-16,71.7806247171345
2020-11-17,88.39151286499495
2020-11-18,79.6329008149197
2020-11-19,76.8314854084505
2020-11-20,70.52148962530771
2020-11-23,65.90146379159515
2020-11-24,54.90634898252222
2020-11-25,52.12574671974527
2020-11-26,52.57501723064384
2020-11-27,57.24083262640065
2020-11-30,54.66080667189481
2020-12-01,59.32606814562145
2020-12-02,64.44715505893987
2020-12-03,60.18090956894711
2020-12-04,59.66249605387106
2020-12-07,60.34301721804641
2020-12-08,66.61112578702524
2020-12-09,54.33114020745314
2020-12-10,57.5188623266525
2020-12-11,60.68617009443512
2020-12-14,47.871404130145464
2020-12-15,49.13814351794962
2020-12-16,48.05857824688354
2020-12-17,39.239691328977685
2020-12-18,42.372589410356326
2020-12-21,32.2984800055189
2020-12-22,15.621035502809988
2020-12-23,20.431005967392522
2020-12-24,22.964873049839696
2020-12-25,24.214831752798275
2020-12-28,38.98055937919275
2020-12-29,42.76520039100685
2020-12-30,40.37413261166843
2020-12-31,42.21330210497277
2021-01-01,47.59724333782737
2021-01-04,39.38223748330876
2021-01-05,44.31101046556428
2021-01-06,46.58435050581702
2021-01-07,62.80164577951195
2021-01-08,64.66750066970972
2021-01-11,58.44536331825023
2021-01-12,52.65185999147877
2021-01-13,52.895196330385744
2021-01-14,50.23519298667843
2021-01-15,42.004657386139876
2021-01-18,45.14754675907181
2021-01-19,59.591977065601135
2021-01-20,69.21721408848718
2021-01-21,69.59372057053739
2021-01-22,75.27868387019586
2021-01-25,73.9555410400513
2021-01-26,76.52411206072387
2021-01-27,55.767182421253345
2021-01-28,57.169624107826074
2021-01-29,59.16066122504529
2021-02-01,68.3342809235806
2021-02-02,69.65060706753539
2021-02-03,78.99825980959575
2021-02-04,78.48633833031234
2021-02-05,79.74677160517987
2021-02-08,77.03778978841164
2021-02-09,70.83041126265462
2021-02-10,71.2879249832279
2021-02-11,70.72060552205897
2021-02-12,71.47020819710275
2021-02-15,70.36107472842663
2021-02-16,87.29978302292199
2021-02-17,86.3965525329116
2021-02-18,90.43267869214387
2021-02-19,83.46453231482025
2021-02-22,72.25625041409025
2021-02-23,50.229596022760035
2021-02-24,58.6938128402371
2021-02-25,34.63239382103522
2021-02-26,37.09892339128573
2021-03-01,49.60393460614951
2021-03-02,46.03297730695858
2021-03-03,38.27058542294682
2021-03-04,41.09880604486991
2021-03-05,50.601081130321546
2021-03-08,38.7689849523199
2021-03-09,41.73137554153045
2021-03-10,43.06803832410799
2021-03-11,51.384860577534305
2021-03-12,49.70905704125754
2021-03-15,49.56928329184933
2021-03-16,49.739691298791605
2021-03-17,56.685475961011235
2021-03-18,49.93547315329395
2021-03-19,45.820704514946875
2021-03-22,45.926909208126396
2021-03-23,53.106432586339146
2021-03-24,49.50616457540924
2021-03-25,40.812540082235216
2021-03-26,52.078735460781445
2021-03-29,50.61183804202629
2021-03-30,50.096701836582575
2021-03-31,39.369682345157415
2021-04-01,66.2522491763649
2021-04-02,65.5779439244855
2021-04-05,72.89746233635665
2021-04-06,73.05844920202728
2021-04-07,91.0625954700383
2021-04-08,91.35462936567329
2021-04-09,93.45587699013664
2021-04-12,83.49876992570923
2021-04-13,86.32904685259481
2021-04-14,83.1401799284149
2021-04-15,87.240799218279
2021-04-16,86.4974366769383
2021-04-19,86.78988617075655
2021-04-20,83.96946213175319
2021-04-21,79.6379527407953
2021-04-22,72.61704974047254
2021-04-23,68.1423315517521
2021-04-26,69.76625346071562
2021-04-27,61.36616578993619
2021-04-28,68.4801898198465
2021-04-29,71.22476957758433
2021-04-30,73.68339256682496
2021-05-03,69.35532064938532
2021-05-04,63.849669645666275
2021-05-05,59.400429553838876
2021-05-06,62.18264934011344
2021-05-07,63.53262948774472
2021-05-10,55.943862357710024
2021-05-11,51.77170122111691
2021-05-12,47.00145068066498
2021-05-13,44.15767033629794
2021-05-14,48.9402202737572
2021-05-17,51.473835257665804
2021-05-18,41.106569143093964
2021-05-19,34.273779778064764
2021-05-20,43.45709307202925
2021-05-21,43.87791921007865
2021-05-24,56.1013122598831
2021-05-25,56.09211050816676
2021-05-26,56.07677088327459
2021-05-27,50.431136177724206
2021-05-28,58.847216208376125
2021-05-31,64.19340838993473
2021-06-01,80.69262002840479
2021-06-02,76.87870914724746
2021-06-03,67.0865099147068
2021-06-04,71.67225728018632
2021-06-07,77.37647038278487
2021-06-08,78.21818850763874
2021-06-09,75.08250825082503
2021-06-10,80.54269203003597
2021-06-11,72.81740531578077
2021-06-14,74.00204651093482
2021-06-15,69.13516038596386
2021-06-16,77.3920937525791
2021-06-17,77.87510426089314
2021-06-18,72.28547964437716
2021-06-21,72.22346310712567
2021-06-22,76.29233342908802
2021-06-23,78.3433813965305
2021-06-24,74.8228815993752
2021-06-25,70.44492420886789
2021-06-28,66.00507958750245
2021-06-29,58.28996042294703
2021-06-30,45.18222939822017
2021-07-01,53.90787911485297
2021-07-02,61.498116180831815
2021-07-05,63.46502624857627
2021-07-06,69.0584201465714
2021-07-07,67.95524733564055
2021-07-08,67.32260717311668
2021-07-09,65.70983537020197
2021-07-12,67.18083478956694
2021-07-13,72.07777440873252
2021-07-14,72.78686933507937
2021-07-15,69.30616523619202
2021-07-16,71.91694047538259
2021-07-19,62.20341294885526
2021-07-20,70.08640962218901
2021-07-21,70.9859415464299
