,MSFT
2022-01-05,42.25455973979062
2022-01-06,41.20569271625806
2022-01-07,44.4275771601004
2022-01-10,35.69857870742827
2022-01-11,27.40577365999424
2022-01-12,30.508068097919917
2022-01-13,23.115668098029502
2022-01-14,19.706955800857912
2022-01-17,20.161473852145562
2022-01-18,16.627042559245695
2022-01-19,18.391001150908366
2022-01-20,18.810636959822176
2022-01-21,17.549447834433707
2022-01-24,19.922586828287194
2022-01-25,21.833963696971793
2022-01-26,34.45590257805243
2022-01-27,37.800679356802846
2022-01-28,45.473734629176505
2022-01-31,47.07602443546963
2022-02-01,42.937789600642894
2022-02-02,57.39412526480083
2022-02-03,43.15434230109186
2022-02-04,46.95974171133663
2022-02-07,48.74075373478811
2022-02-08,50.87321570865338
2022-02-09,56.37690010967701
2022-02-10,54.0389325479999
2022-02-11,49.223229018842055
2022-02-14,54.18542705404168
2022-02-15,52.506006295525204
2022-02-16,49.766678185111886
2022-02-17,38.02758131393701
2022-02-18,34.27477499047497
2022-02-21,35.34541098066832
2022-02-22,30.66986540721605
2022-02-23,33.031366178000184
2022-02-24,42.057376478522585
2022-02-25,47.36917097874179
2022-02-28,45.69725023269363
2022-03-01,37.344353988590115
2022-03-02,48.1945576588272
2022-03-03,50.76415823343661
2022-03-04,45.95911030754599
2022-03-07,34.394910086260296
2022-03-08,33.384860591252774
2022-03-09,48.514316827278684
2022-03-10,48.44332342743731
2022-03-11,45.12891294924353
2022-03-14,43.29369919104837
2022-03-15,53.93773239265398
2022-03-16,49.87544737637396
2022-03-17,48.666923867211324
2022-03-18,50.998529492100616
2022-03-21,52.64613055699309
2022-03-22,52.44287149708425
2022-03-23,52.24498662960494
2022-03-24,59.121205972628
2022-03-25,68.3399892354698
2022-03-28,74.37403552058943
2022-03-29,71.17230205238457
2022-03-30,72.72871364477048
2022-03-31,72.6936482073507
2022-04-01,77.62142996987605
2022-04-04,75.50420553635696
2022-04-05,66.04396335278761
2022-04-06,53.454953585616444
2022-04-07,50.802049363453705
2022-04-08,48.22614533535696
2022-04-11,36.28539752083779
2022-04-12,37.02547173411696
2022-04-13,37.90369584218314
2022-04-14,34.2032060225003
2022-04-15,27.457262243021887
2022-04-18,22.93249958094566
2022-04-19,28.900708740166777
2022-04-20,32.63173654140567
2022-04-21,28.848124564832162
2022-04-22,20.273009620617586
2022-04-25,28.89728010878028
2022-04-26,29.257576969558087
2022-04-27,38.893650841670485
2022-04-28,45.61634243259213
2022-04-29,45.39941845384181
