,AAPL,GOOG,MSFT
2020-10-13,113.78349952697754,73.88797454833984,208.61800079345704
2020-10-14,114.23649978637695,74.00592460632325,209.40850067138672
2020-10-15,114.75499992370605,74.16492462158203,210.24600067138672
2020-10-16,115.36399993896484,74.44747467041016,211.20950088500976
2020-10-19,115.65900001525878,74.70609970092774,211.7935012817383
2020-10-20,115.94400024414062,74.93227462768554,212.15500106811524
2020-10-21,116.43150024414062,75.3775245666504,212.8655014038086
2020-10-22,116.80800018310546,75.84512481689453,213.45050125122071
2020-10-23,116.946000289917,76.33522491455078,213.87100067138672
2020-10-26,116.95050048828125,76.65004997253418,213.90300064086915
2020-10-27,117.07600059509278,76.98737487792968,214.20250091552734
2020-10-28,116.84550056457519,77.10492477416992,213.82000045776368
2020-10-29,116.77200050354004,77.29779968261718,213.43300018310546
2020-10-30,116.56400070190429,77.70427474975585,213.24700012207032
2020-11-02,116.17750053405761,78.05429954528809,212.84449996948243
2020-11-03,116.04150047302247,78.54622459411621,212.87049942016603
2020-11-04,116.03500022888184,79.26832427978516,213.1984992980957
2020-11-05,116.23800010681153,79.96192436218261,213.8339988708496
2020-11-06,116.32400016784668,80.57824935913087,214.22949905395507
2020-11-09,115.92000007629395,81.06287460327148,214.0789993286133
2020-11-10,115.66350021362305,81.48464965820312,213.4864990234375
2020-11-11,115.57849998474121,81.94622459411622,213.2709991455078
2020-11-12,115.50349998474121,82.42299957275391,213.05999908447265
2020-11-13,115.51550025939942,82.93302459716797,212.902498626709
2020-11-16,115.73150024414062,83.5499496459961,213.0529983520508
2020-11-17,115.82550010681152,84.0854995727539,213.04349899291992
2020-11-18,115.88349990844726,84.46917457580567,212.85749893188478
2020-11-19,116.02799987792969,84.8406494140625,212.7339988708496
2020-11-20,116.14299964904785,85.09362411499023,212.44199905395507
2020-11-23,116.08299942016602,85.45464897155762,212.44349899291993
2020-11-24,116.01149940490723,85.86619911193847,212.4739990234375
2020-11-25,116.25299949645996,86.5032241821289,213.03349914550782
2020-11-26,116.28849945068359,87.01369934082031,213.49099884033203
2020-11-27,116.67499923706055,87.44414939880372,214.12899856567384
2020-11-30,117.18899955749512,87.78092460632324,214.71599884033202
2020-12-01,117.80299949645996,88.15064964294433,215.20499954223632
2020-12-02,118.20949974060059,88.34769973754882,215.15399932861328
2020-12-03,118.40499992370606,88.50619964599609,214.70149993896484
2020-12-04,118.58299980163574,88.67179946899414,214.23349990844727
2020-12-07,118.95449981689453,88.81299934387206,214.02849960327148
2020-12-08,119.37499961853027,89.00839920043946,214.27849960327148
2020-12-09,119.48949966430663,89.08694915771484,214.04099960327147
2020-12-10,119.69099960327148,89.15067443847656,213.7949996948242
2020-12-11,119.84849967956544,89.16254959106445,213.63249969482422
2020-12-14,119.92249946594238,89.10924949645997,213.4809997558594
2020-12-15,120.34699935913086,89.10329933166504,213.46449966430663
2020-12-16,120.8359992980957,89.14384956359864,213.87449951171874
2020-12-17,121.3389991760254,89.10379943847656,214.22449951171876
2020-12-18,121.80499954223633,89.07584953308105,214.63449935913087
2020-12-21,122.52399940490723,89.08712463378906,215.2584991455078
2020-12-22,123.35949974060058,88.97367477416992,215.76249923706055
2020-12-23,124.1060001373291,88.8760498046875,216.11999969482423
2020-12-24,124.90300025939942,88.79459953308105,216.56399993896486
2020-12-25,125.67200050354003,88.65874938964843,216.94000015258788
2020-12-28,126.55400047302246,88.69712409973144,217.4845001220703
2020-12-29,127.16150016784668,88.59867401123047,217.88149948120116
2020-12-30,127.6935001373291,88.37759895324707,218.19699935913087
2020-12-31,128.1810001373291,88.19037399291992,218.60599899291992
2021-01-01,128.7030002593994,88.0000991821289,219.0089988708496
2021-01-04,128.9860004425049,87.77199935913086,219.1789993286133
2021-01-05,129.31750030517577,87.57792434692382,219.27349929809571
2021-01-06,129.558500289917,87.45582466125488,219.2959991455078
2021-01-07,129.94250030517577,87.48562469482422,219.68449859619142
2021-01-08,130.42450027465821,87.54922447204589,220.00249862670898
2021-01-11,130.7845001220703,87.56587448120118,220.16699905395507
2021-01-12,130.83050041198732,87.5128246307373,220.2069984436035
2021-01-13,130.98450050354003,87.49132461547852,220.05999832153321
2021-01-14,130.9950008392334,87.47202491760254,219.739998626709
2021-01-15,131.01900062561035,87.48497505187989,219.44299850463867
2021-01-18,130.96450080871583,87.47702522277832,218.94599838256835
2021-01-19,130.76200065612792,87.64542503356934,218.57099838256835
2021-01-20,130.8155002593994,88.03172492980957,218.73699798583985
2021-01-21,131.06049995422364,88.41272506713867,218.847998046875
2021-01-22,131.4155002593994,88.81822509765625,219.00799789428712
2021-01-25,131.72700004577638,89.12650032043457,219.2364974975586
2021-01-26,132.14150047302246,89.52280044555664,219.6454978942871
2021-01-27,132.558500289917,89.75097541809082,220.20649795532228
2021-01-28,132.77849998474122,90.02905044555663,221.03199768066406
2021-01-29,132.74200019836425,90.23870048522949,221.50899810791014
2021-02-01,132.9784999847412,90.67147521972656,222.60699768066405
2021-02-02,133.17750053405763,91.13795051574706,223.68749771118163
2021-02-03,133.54450073242188,91.97490043640137,225.22499771118163
2021-02-04,133.86800079345704,92.66270027160644,226.4109977722168
2021-02-05,134.10350036621094,93.38967552185059,227.53999786376954
2021-02-08,134.50000076293946,94.20515060424805,228.78899765014648
2021-02-09,134.86050033569336,95.04755058288575,230.23099822998046
2021-02-10,135.08550033569335,95.90000038146972,231.55499877929688
2021-02-11,135.39650039672853,96.78927536010742,233.12849884033204
2021-02-12,135.80800018310546,97.70907516479492,234.74549942016606
2021-02-15,136.21949996948243,98.62887496948242,236.36250000000004
2021-02-16,136.4875,99.45647506713867,237.72549972534185
2021-02-17,136.4279998779297,100.05999984741212,238.71849975585943
2021-02-18,136.07000045776368,100.62487487792968,239.6594993591309
2021-02-19,135.6099998474121,101.12509994506836,240.41049957275396
2021-02-22,134.76399993896484,101.53880004882812,240.6594993591309
2021-02-23,133.89899978637695,101.9228500366211,240.7064994812012
2021-02-24,133.06349983215333,102.58380012512207,240.78899993896488
2021-02-25,132.25849990844728,103.00442504882812,240.29200057983402
2021-02-26,131.72349967956544,103.5072250366211,240.3130004882813
2021-03-01,131.40599975585937,103.95762519836425,240.17750091552733
2021-03-02,130.91249961853026,104.32845001220703,239.89550094604496
2021-03-03,130.31849937438966,104.22005004882813,239.12350082397467
2021-03-04,129.45549926757812,104.18684997558594,238.35950088500982
2021-03-05,128.6884994506836,104.21319999694825,237.82950134277348
2021-03-08,127.6609992980957,104.04135017395019,237.07550125122074
2021-03-09,126.91499938964844,103.96432533264161,236.57600097656254
2021-03-10,126.14449958801269,103.86345062255859,236.05600051879887
2021-03-11,125.4859992980957,103.91065063476563,235.68800048828126
2021-03-12,124.76899948120118,103.80517578125,235.22600021362305
2021-03-15,124.19999961853027,103.71112594604492,234.71699981689454
2021-03-16,123.81899948120117,103.63767585754394,234.4175003051758
2021-03-17,123.51499977111817,103.54460105895996,234.05950012207032
2021-03-18,123.05599937438964,103.34215087890625,233.40600051879883
2021-03-19,122.56199951171875,103.19730110168457,232.87500076293946
2021-03-22,122.43149948120117,103.13157577514649,232.94900131225586
2021-03-23,122.26549949645997,103.08682594299316,233.16450119018555
2021-03-24,122.00249938964843,102.96155090332032,233.21000137329102
2021-03-25,121.9824993133545,102.99405097961426,233.37750091552735
2021-03-26,121.9799991607666,102.99077568054199,233.58250045776367
2021-03-29,121.65999908447266,102.9268756866455,233.49750061035155
2021-03-30,121.3989990234375,102.87612571716309,233.39650115966796
2021-03-31,121.40349922180175,102.98092575073242,233.80700149536133
2021-04-01,121.54699935913087,103.20257568359375,234.58800201416017
2021-04-02,121.6259994506836,103.27560043334961,235.12550201416016
2021-04-05,122.10299949645996,103.77905006408692,236.20950241088866
2021-04-06,122.35899963378907,104.20917510986328,236.91350250244142
2021-04-07,122.75499954223633,104.69580001831055,237.78750228881836
2021-04-08,123.17499961853028,105.07247505187988,238.59350204467773
2021-04-09,123.77349967956543,105.63237495422364,239.5985023498535
2021-04-12,124.13600006103516,106.103125,240.65350265502926
2021-04-13,124.57899971008301,106.5400001525879,241.6925018310547
2021-04-14,124.94249954223633,106.94939994812012,242.62000198364257
2021-04-15,125.64099960327148,107.60050010681152,244.05900192260742
2021-04-16,126.34949989318848,108.23689994812011,245.5785011291504
2021-04-19,126.92199974060058,108.89642524719238,246.71600036621095
2021-04-20,127.4504997253418,109.49810028076172,247.75000076293946
2021-04-21,128.12099990844726,110.1186752319336,249.00599975585936
2021-04-22,128.68850021362306,110.67757530212403,250.24750061035155
2021-04-23,129.34400062561036,111.37695045471192,251.48100051879882
2021-04-26,130.0105007171631,112.05392532348633,252.79649963378907
2021-04-27,130.73500061035156,112.68287544250488,254.30249938964843
2021-04-28,131.30650062561034,113.4610752105713,255.24199905395508
2021-04-29,131.83050041198732,114.19142532348633,255.74999847412104
2021-04-30,132.25350074768068,114.87235031127929,256.2414978027344
2021-05-03,132.58550033569335,115.29640045166016,256.380997467041
2021-05-04,132.6675003051758,115.62015037536621,256.37749710083006
2021-05-05,132.67750053405763,115.8878002166748,256.20599746704096
2021-05-06,132.64650077819823,116.1775749206543,256.02999725341795
2021-05-07,132.5070011138916,116.45960006713867,255.86049728393556
2021-05-10,132.28750076293946,116.6767749786377,255.42399673461915
2021-05-11,131.86150131225585,116.78050003051757,254.81099700927734
2021-05-12,131.39850120544435,116.7411003112793,253.98149719238276
